"位 懈蟹屑, 脜","位 褌械芯褉, 脜",褝谢械屑械薪褌,褋褌邪写懈褟 懈芯薪懈蟹邪褑懈懈,S,I_位
5252.00,5252.019,Ti,II,-11.225345704281793,0.81257
5253.44,5253.461,Fe,I,-11.253613879211244,0.74715
,5253.641,Fe,II,-11.38089316646845,0.74715
5254.93,5254.929,Fe,II,-9.849330743177678,0.50824
5255.70,5255.753,Fe,I,-11.540465502486066,0.89722
5256.93,5256.938,Fe,II,-10.650048042887514,0.68107
5260.25,5260.259,Fe,II,-10.199547062900379,0.77607
5261.67,5261.704,Ca,I,-11.900712942275828,0.61284
,5261.704,Ca,I,-12.040712942275828,0.61284
5262.18,5262.137,Ti,II,-10.183319268020771,0.43691
5263.30,5263.305,Fe,I,-10.542617401615571,0.5501
5263.90,5264.026,Fe,II,-11.771942044385641,0.82701
,5263.862,Fe,I,-11.901200849960942,0.82701
,5263.999,V,II,-12.033597574419804,0.82701
5264.21,5264.177,Fe,II,-10.963882599255465,0.48646
5264.81,5264.812,Fe,II,-9.809330743177679,0.4704
5265.17,5265.136,C,I,-12.092172307897165,0.87834
5265.57,5265.556,Ca,I,-11.46200664552238,0.46979
,5265.556,Ca,I,-11.572006645522379,0.46979
5265.97,5265.981,Fe,II,-12.20954706290038,0.79111
5266.58,5266.555,Fe,I,-9.94926116657792,0.41022
5267.03,5267.03,Cr,II,-12.304574261276834,0.89712
5268.39,5268.387,Si,I,-11.20465927118123,0.75881
5268.59,5268.615,Ti,II,-10.35052051726799,0.61382
5269.54,5269.537,Fe,I,-9.405645544393074,0.26336
5270.34,5270.357,Fe,I,-10.010137410225916,0.29932
5271.10,5271.1,Fe,II,-12.003882599255466,0.89139
5272.39,5272.397,Fe,II,-10.412648268224846,0.6679
5273.19,5273.163,Fe,I,-10.709435543820717,0.55263
5273.39,5273.374,Fe,I,-11.31677943221466,0.61236
5274.24,5274.229,Ce,II,-12.485313094698915,0.86066
5274.99,5274.964,Cr,II,-10.293332958351805,0.45194
5276.03,5276.002,Fe,II,-8.539278342856159,0.30934
5278.95,5278.938,Fe,II,-10.76353994517748,0.80311
5279.89,5280.054,Cr,II,-11.015273513221628,0.60639
,5279.876,Cr,II,-11.104626661598354,0.60639
5280.04,5280.054,Cr,II,-11.015273513221628,0.64372
,5279.876,Cr,II,-11.104626661598354,0.64372
5280.33,5280.23,C,I,-11.462172307897163,0.83848
5281.81,5281.79,Fe,I,-10.445135231508912,0.48982
5283.63,5283.621,Fe,I,-10.196446111033703,0.44082
5284.12,5284.109,Fe,II,-9.590048042887513,0.43109
5285.24,5285.118,Fe,I,-11.96878694922384,0.77193
,5285.266,Ca,II,-12.184621432677545,0.77193
,5285.266,Ca,II,-12.304621432677544,0.77193
5288.51,5288.528,Fe,I,-11.490116748000471,0.78904
5291.66,5291.666,Fe,II,-10.739005011920144,0.88376
5292.58,5292.459,Fe,II,-12.697298206509046,0.85956
5293.16,5293.163,Nd,II,-12.13235888595518,0.85585
5294.07,5293.963,Fe,I,-12.009906275227591,0.86674
5295.32,5295.299,Fe,I,-12.005849916758343,0.87107
,5295.426,C,I,-12.082172307897164,0.87107
5296.71,5296.691,Cr,I,-12.335855145679151,0.70766
5297.38,5297.376,Cr,I,-12.075869707496986,0.67734
5298.01,5297.968,Cr,I,-12.305869707496987,0.69019
,5298.042,Fe,II,-12.652664573016285,0.69019
5298.29,5298.277,Cr,I,-12.145855145679151,0.62233
5298.77,5298.776,Fe,I,-11.975833611966905,0.86567
